#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,1,6,4,54,999,99,99,2.52,11.11,9.49,272,9999,999,11.3,999,99,99
2013,1,6,5,24,999,99,99,2.61,12.5,9.73,285,9999,999,11.4,999,99,99
2013,1,6,5,54,999,99,99,2.66,11.76,9.32,275,9999,999,11.4,999,99,99
2013,1,6,6,24,999,99,99,2.61,12.5,9,284,9999,999,11.4,999,99,99
2013,1,6,6,54,999,99,99,2.57,12.5,9,286,9999,999,11.4,999,99,99
2013,1,6,7,24,999,99,99,2.82,11.76,9.13,281,9999,999,11.3,999,99,99
2013,1,6,7,54,999,99,99,2.95,9.88,8.98,268,9999,999,11.2,999,99,99
2013,1,6,8,24,999,99,99,3.06,15.38,9.32,299,9999,999,11.2,999,99,99
2013,1,6,8,54,999,99,99,3.07,12.5,9.12,281,9999,999,11.3,999,99,99
2013,1,6,9,24,999,99,99,3.12,15.38,10.02,299,9999,999,11.4,999,99,99
2013,1,6,9,54,999,99,99,3.05,13.33,9.57,292,9999,999,11.5,999,99,99
2013,1,6,10,24,999,99,99,3.08,13.33,9.58,295,9999,999,11.5,999,99,99
2013,1,6,10,54,999,99,99,3.01,12.5,9.99,291,9999,999,11.4,999,99,99
2013,1,6,11,24,999,99,99,3.37,15.38,10.04,302,9999,999,11.4,999,99,99
2013,1,6,11,54,999,99,99,3.21,14.29,9.95,293,9999,999,11.4,999,99,99
2013,1,6,12,24,999,99,99,2.87,13.33,9.12,288,9999,999,11.5,999,99,99
2013,1,6,12,54,999,99,99,3.18,13.33,9.55,296,9999,999,11.4,999,99,99
2013,1,6,13,24,999,99,99,3.17,14.29,9.31,296,9999,999,11.4,999,99,99
2013,1,6,13,54,999,99,99,2.91,14.29,9.07,296,9999,999,11.4,999,99,99
2013,1,6,14,24,999,99,99,3.36,12.5,9.13,285,9999,999,11.4,999,99,99
2013,1,6,14,54,999,99,99,3.35,15.38,9.01,292,9999,999,11.4,999,99,99
2013,1,6,15,24,999,99,99,3.32,15.38,9.24,289,9999,999,11.4,999,99,99
2013,1,6,15,54,999,99,99,3.52,15.38,9.29,292,9999,999,11.4,999,99,99
2013,1,6,16,24,999,99,99,3.68,14.29,9.73,295,9999,999,11.4,999,99,99
2013,1,6,16,54,999,99,99,3.41,15.38,9.56,296,9999,999,11.4,999,99,99
2013,1,6,17,24,999,99,99,3.41,15.38,10.01,292,9999,999,11.5,999,99,99
2013,1,6,17,54,999,99,99,3.11,14.29,9.3,291,9999,999,11.5,999,99,99
2013,1,6,18,24,999,99,99,3.2,14.29,9.57,289,9999,999,11.5,999,99,99
2013,1,6,18,54,999,99,99,3.5,14.29,10.1,293,9999,999,11.5,999,99,99
2013,1,6,19,24,999,99,99,3.21,15.38,9.68,295,9999,999,11.5,999,99,99
2013,1,6,19,54,999,99,99,3.34,14.29,10.03,295,9999,999,11.6,999,99,99
2013,1,6,20,24,999,99,99,3.55,14.29,10.28,293,9999,999,11.6,999,99,99
2013,1,6,20,54,999,99,99,3.69,14.29,10.5,291,9999,999,11.5,999,99,99
2013,1,6,21,24,999,99,99,3.44,14.29,10.34,295,9999,999,11.5,999,99,99
2013,1,6,21,54,999,99,99,3.58,13.33,10.35,291,9999,999,11.4,999,99,99
2013,1,6,22,24,999,99,99,3.54,13.33,10.42,291,9999,999,11.4,999,99,99
2013,1,6,22,54,999,99,99,3.56,14.29,10.51,291,9999,999,11.4,999,99,99
2013,1,6,23,24,999,99,99,3.43,13.33,10.39,293,9999,999,11.4,999,99,99
2013,1,6,23,54,999,99,99,3.64,13.33,10.85,292,9999,999,11.4,999,99,99
2013,1,7,0,24,999,99,99,3.21,13.33,10.89,289,9999,999,11.3,999,99,99
2013,1,7,0,54,999,99,99,3.61,13.33,11.01,291,9999,999,11.4,999,99,99
2013,1,7,1,24,999,99,99,3.44,13.33,11.11,295,9999,999,11.4,999,99,99
2013,1,7,1,54,999,99,99,3.48,13.33,11.19,296,9999,999,11.4,999,99,99
2013,1,7,2,24,999,99,99,3.48,13.33,11.07,299,9999,999,11.3,999,99,99
2013,1,7,2,54,999,99,99,3.59,13.33,10.84,288,9999,999,11.3,999,99,99
2013,1,7,3,24,999,99,99,3.83,11.76,10.77,293,9999,999,11.2,999,99,99
2013,1,7,3,54,999,99,99,3.99,12.5,11.18,285,9999,999,11.2,999,99,99
2013,1,7,4,24,999,99,99,4.15,13.33,11.14,288,9999,999,11.2,999,99,99
2013,1,7,4,54,999,99,99,3.59,13.33,10.79,293,9999,999,11.2,999,99,99
2013,1,7,5,24,999,99,99,3.73,13.33,10.71,288,9999,999,11.2,999,99,99
2013,1,7,5,54,999,99,99,3.65,13.33,10.62,296,9999,999,11.2,999,99,99
2013,1,7,6,24,999,99,99,3.5,12.5,10.95,288,9999,999,11.2,999,99,99
2013,1,7,6,54,999,99,99,3.5,11.76,10.33,288,9999,999,11.1,999,99,99
2013,1,7,7,24,999,99,99,3.21,13.33,10.28,277,9999,999,11.1,999,99,99
2013,1,7,7,54,999,99,99,3.65,12.5,10.57,291,9999,999,11.2,999,99,99
2013,1,7,8,24,999,99,99,3.15,14.29,10.4,288,9999,999,11.1,999,99,99
2013,1,7,8,54,999,99,99,3.05,12.5,10.24,291,9999,999,11.1,999,99,99
